org,org_type,ein,name,exempt_type,match_confidence,filer_name,filer_name_norm,method,verified,details
Women's March,4.0,871948693.0,North County San Diego Womxns March,3.0,68.474594,,,auto,0.0,Not included in top 3 results.
Women's March,4.0,650144269.0,Marco Island Womans Club Foundation,3.0,63.51751,VNTC TTEE MARCO ISLAND WOMAN S CLUB,vntc ttee marco island woman s club,auto,0.0,Not included in top 3 results.
Women's March,4.0,352665900.0,Marco Island Womans Club Charitable Foundation Inc,3.0,54.234352,Marco Island Womans Club Charitable,marco island womans club charitable,auto,0.0,Not included in top 3 results.
Women's March,4.0,901074063.0,Marco Island Chapter No 2438 Women Of The Moose,8.0,44.89434,,,auto,0.0,Not included in top 3 results.
Women's March,4.0,591807228.0,American Association Of University Women,4.0,18.16468,,,auto,0.0,Not included in top 3 results.
Indivisible Project,4.0,814944067.0,Indivisible Project,4.0,122.06691,INDIVISIBLE PROJECT,indivisible project,manual,,
Chesapeake Climate Action Network,4.0,113644283.0,Chesapeake Climate Action Network,3.0,177.32477,CHESAPEAKE CLIMATE ACTION NETWORK INC,chesapeake climate action network,manual,,
Chesapeake Climate Action Network,4.0,10879928.0,Chesapeake Climate Action Network Action Fund Inc,4.0,151.68636,,,manual,,
Americans for Consumer Protection,4.0,,,,,,,auto,0.0,Not found in ProPublica's NonProfit Explorer search method.
Leaders Igniting Transformation,4.0,823151192.0,Leaders Igniting Transformation Education Fund Inc,3.0,134.26584,LEADERS IGNITING TRANSFORMATION EDUCATION FUND INC,leaders igniting transformation education fund,manual,,
Leaders Igniting Transformation,4.0,823166802.0,Leaders Igniting Transformation Action Fund Inc,4.0,134.26584,LEADERS IGNITING TRANSFORMATION ACTION FUND INC,leaders igniting transformation action fund,manual,,
American Bankers Assn,6.0,521767808.0,American Bankers Association Voluntary Employee Benefit Assn,9.0,93.75641,ABA VEBA,aba veba,manual,,
CatholicVote.org,4.0,,,,,,,auto,0.0,Not found in ProPublica's NonProfit Explorer search method.
Food & Water Action,4.0,311581053.0,Food On Foot Inc,3.0,66.32844,FOOD ON FOOT,food on foot,manual,,
Food & Water Action,4.0,921279854.0,Terre Foods Community Food Initiative,3.0,60.655495,TERRE FOODS COMMUNITY INITIATIVE CORPORATION,terre foods community initiative,manual,,
Food & Water Action,4.0,300690336.0,Big Foot Emergency Food Pantry,3.0,60.655495,BIG FOOT EMERGENCY FOOD PANTRY INC,big foot emergency food pantry,manual,,
Food & Water Action,4.0,223969109.0,Tennessee Food On Foot Foundation Inc,3.0,55.877686,TENNESSEE FOOD ON FOOT FOUNDATION INC,tennessee food on foot foundation,auto,0.0,Not included in top 3 results.
Food & Water Action,4.0,20738229.0,Food Share Food Bank,3.0,51.173786,,,auto,0.0,Not included in top 3 results.
Food & Water Action,4.0,421866644.0,Sheep Food,3.0,48.210297,,,auto,0.0,Not included in top 3 results.
Food & Water Action,4.0,311020198.0,Food Finders Food Bank Inc,3.0,48.132355,FOOD FINDERS FOOD BANK INC,food finders food bank,auto,0.0,Not included in top 3 results.
Food & Water Action,4.0,871522121.0,Soul Food Food Pantry,3.0,47.861767,,,auto,0.0,Not included in top 3 results.
Food & Water Action,4.0,992866661.0,Food Horizons,3.0,47.244583,,,auto,0.0,Not included in top 3 results.
Food & Water Action,4.0,911090450.0,Food Lifeline,3.0,46.629337,FOOD LIFELINE,food lifeline,auto,0.0,Not included in top 3 results.
Food & Water Action,4.0,382853858.0,Food Gatherers,3.0,46.629337,FOOD GATHERERS,food gatherers,auto,0.0,Not included in top 3 results.
Food & Water Action,4.0,850416803.0,Food Depot,3.0,46.629337,THE FOOD DEPOT,food depot,auto,0.0,Not included in top 3 results.
Food & Water Action,4.0,232939247.0,Food Helpers,3.0,46.629337,FOOD HELPERS,food helpers,auto,0.0,Not included in top 3 results.
Food & Water Action,4.0,462372533.0,Food Connects,3.0,46.629337,FOOD CONNECTS,food connects,auto,0.0,Not included in top 3 results.
Food & Water Action,4.0,611762787.0,Food Group,3.0,46.629337,THE FOOD GROUP INC,food group,auto,0.0,Not included in top 3 results.
Food & Water Action,4.0,831580187.0,Food Strong,3.0,46.629337,FOOD STRONG,food strong,auto,0.0,Not included in top 3 results.
Food & Water Action,4.0,263662215.0,Food Works,3.0,46.629337,FOOD WORKS,food works,auto,0.0,Not included in top 3 results.
Food & Water Action,4.0,752911547.0,Food Foundation,3.0,46.629337,THE FOOD FOUNDATION,food foundation,auto,0.0,Not included in top 3 results.
Food & Water Action,4.0,270656350.0,Fair Food,3.0,46.629337,FAIR FOOD,fair food,auto,0.0,Not included in top 3 results.
Food & Water Action,4.0,911747155.0,Food Alliance,3.0,46.629337,The Food Alliance,food alliance,auto,0.0,Not included in top 3 results.
Food & Water Action,4.0,205371832.0,Food Roots,3.0,46.629337,FOOD ROOTS,food roots,auto,0.0,Not included in top 3 results.
Food & Water Action,4.0,814736864.0,Food Fort,3.0,46.629337,FOOD FORT,food fort,auto,0.0,Not included in top 3 results.
Food & Water Action,4.0,852479963.0,Rockwood Food,3.0,46.629337,ROCKWOOD FOOD,rockwood food,auto,0.0,Not included in top 3 results.
Food & Water Action,4.0,862522790.0,Food Hugs,3.0,46.629337,FOOD HUGS,food hugs,auto,0.0,Not included in top 3 results.
Food & Water Action,4.0,883409814.0,Food Leads,3.0,46.629337,Food Leads Inc,food leads,auto,0.0,Not included in top 3 results.
Ohio Citizen Action,4.0,341208942.0,Ohio Citizen Action,4.0,121.2006,OHIO CITIZEN ACTION,ohio citizen action,manual,,
Ohio Citizen Action,4.0,341208940.0,Ohio Citizen Action Education Fund,3.0,100.44739,OHIO CITIZEN ACTION EDUCATION FUND,ohio citizen action education fund,manual,,
American Civil Liberties Union,4.0,271629328.0,American Civil Liberties Union,4.0,150.98625,AMERICAN CIVIL LIBERTIES UNION OF ILLINOIS,american civil liberties union illinois,manual,,
American Civil Liberties Union,4.0,910683589.0,American Civil Liberties Union,4.0,150.98625,American Civil Liberties Union of Washington,american civil liberties union washington,manual,,
American Civil Liberties Union,4.0,41180450.0,American Civil Liberties Union,4.0,150.98625,,,manual,,
American Civil Liberties Union,4.0,590883831.0,American Civil Liberties Union,4.0,150.98625,AMERICAN CIVIL LIBERTIES UNION OF,american civil liberties union,auto,0.0,Not included in top 3 results.
American Civil Liberties Union,4.0,540845509.0,American Civil Liberties Union,4.0,150.98625,American Civil Liberties Union of Virginia,american civil liberties union virginia,auto,0.0,Not included in top 3 results.
American Civil Liberties Union,4.0,237184439.0,American Civil Liberties Union,4.0,150.98625,AMERICAN CIVIL LIBERTIES UNION,american civil liberties union,auto,0.0,Not included in top 3 results.
American Civil Liberties Union,4.0,381643182.0,American Civil Liberties Union,4.0,150.98625,AMERICAN CIVIL LIBERTIES UNION,american civil liberties union,auto,0.0,Not included in top 3 results.
American Civil Liberties Union,4.0,930556378.0,American Civil Liberties Union,4.0,150.98625,American Civil Liberties Union of Oregon,american civil liberties union oregon,auto,0.0,Not included in top 3 results.
American Civil Liberties Union,4.0,760343140.0,American Civil Liberties Union,4.0,150.98625,American Civil Liberties Union,american civil liberties union,auto,0.0,Not included in top 3 results.
American Civil Liberties Union,4.0,840437750.0,American Civil Liberties Union,4.0,150.98625,American Civil Liberties Union of Colorado,american civil liberties union colorado,auto,0.0,Not included in top 3 results.
American Civil Liberties Union,4.0,520746271.0,American Civil Liberties Union,4.0,150.98625,AMERICAN CIVIL LIBERTIES,american civil liberties,auto,0.0,Not included in top 3 results.
American Civil Liberties Union,4.0,340700606.0,American Civil Liberties Union,4.0,150.98625,AMERICAN CIVIL LIBERTIES UNION OF OHIO,american civil liberties union ohio,auto,0.0,Not included in top 3 results.
American Civil Liberties Union,4.0,396057574.0,American Civil Liberties Union,4.0,150.98625,AMERICAN CIVIL LIBERTIES UNION,american civil liberties union,auto,0.0,Not included in top 3 results.
American Civil Liberties Union,4.0,860205157.0,American Civil Liberties Union,4.0,150.98625,AMERICAN CIVIL LIBERTIES UNION OF,american civil liberties union,auto,0.0,Not included in top 3 results.
American Civil Liberties Union,4.0,474484602.0,American Civil Liberties Union,4.0,150.98625,AMERICAN CIVIL LIBERTIES UNION OF,american civil liberties union,auto,0.0,Not included in top 3 results.
American Civil Liberties Union,4.0,580951433.0,American Civil Liberties Union,4.0,150.98625,AMERICAN CIVIL LIBERTIES UNION OF,american civil liberties union,auto,0.0,Not included in top 3 results.
American Civil Liberties Union,4.0,350930337.0,American Civil Liberties Union,4.0,150.98625,INDIANA CIVIL LIBERTIES UNION,indiana civil liberties union,auto,0.0,Not included in top 3 results.
American Civil Liberties Union,4.0,237093415.0,American Civil Liberties Union,4.0,150.98625,ACLU NEBRASKA,aclu nebraska,auto,0.0,Not included in top 3 results.
American Civil Liberties Union,4.0,620790133.0,American Civil Liberties Union,4.0,150.98625,AMERICAN CIVIL LIBERTIES UNION OF,american civil liberties union,auto,0.0,Not included in top 3 results.
American Civil Liberties Union,4.0,990156207.0,American Civil Liberties Union,4.0,150.98625,AMERICAN CIVIL LIBERTIES UNION,american civil liberties union,auto,0.0,Not included in top 3 results.
American Civil Liberties Union,4.0,420892616.0,American Civil Liberties Union,4.0,150.98625,AMERICAN CIVIL LIBERTIES UNION OF IOWA,american civil liberties union iowa,auto,0.0,Not included in top 3 results.
American Civil Liberties Union,4.0,810431527.0,American Civil Liberties Union,4.0,150.98625,AMERICAN CIVIL LIBERTIES UNION INC,american civil liberties union,auto,0.0,Not included in top 3 results.
American Civil Liberties Union,4.0,710467186.0,American Civil Liberties Union,4.0,150.98625,AMERICAN CIVIL LIBERTIES UNION OF,american civil liberties union,auto,0.0,Not included in top 3 results.
American Civil Liberties Union,4.0,720604244.0,American Civil Liberties Union,4.0,150.98625,AMERICAN CIVIL LIBERTIES UNION,american civil liberties union,auto,0.0,Not included in top 3 results.
American Civil Liberties Union,4.0,610597514.0,American Civil Liberties Union,4.0,150.98625,AMERICAN CIVIL LIBERTIES UNION OF,american civil liberties union,auto,0.0,Not included in top 3 results.
Carolina Federation,4.0,830936641.0,Carolina Federation,4.0,83.53093,CAROLINA FEDERATION,carolina federation,manual,,
Carolina Federation,4.0,842537864.0,Carolina Federation Fund,3.0,74.89488,CAROLINA FEDERATION FUND,carolina federation fund,manual,,
Carolina Federation,4.0,334981115.0,Carolina Athletic Federation,3.0,74.89488,CAROLINA ATHLETIC FEDERATION,carolina athletic federation,manual,,
Carolina Federation,4.0,561564376.0,North Carolina Wildlife Federation,3.0,67.880295,North Carolina Wildlife Federation Inc,north carolina wildlife federation,auto,0.0,Not included in top 3 results.
Carolina Federation,4.0,570602549.0,South Carolina Wildlife Federation,3.0,67.880295,SOUTH CAROLINA WILDLIFE FEDERATION,south carolina wildlife federation,auto,0.0,Not included in top 3 results.
Carolina Federation,4.0,260768375.0,North Carolina Animal Federation,3.0,67.880295,,,auto,0.0,Not included in top 3 results.
Carolina Federation,4.0,463619473.0,North Carolina Taekwondo Federation,3.0,67.880295,,,auto,0.0,Not included in top 3 results.
Carolina Federation,4.0,854086730.0,North Carolina Wildlife Federation,3.0,64.4028,,,auto,0.0,Not included in top 3 results.
Carolina Federation,4.0,260775453.0,North Carolina Wildlife Federation,3.0,64.4028,,,auto,0.0,Not included in top 3 results.
Carolina Federation,4.0,872367688.0,North Carolina Wildlife Federation,3.0,64.4028,,,auto,0.0,Not included in top 3 results.
Carolina Federation,4.0,262507896.0,North Carolina Wildlife Federation,3.0,63.027122,,,auto,0.0,Not included in top 3 results.
Carolina Federation,4.0,464263519.0,North Carolina Wildlife Federation,3.0,63.027122,,,auto,0.0,Not included in top 3 results.
Carolina Federation,4.0,465761426.0,North Carolina Wildlife Federation,3.0,63.027122,,,auto,0.0,Not included in top 3 results.
Carolina Federation,4.0,263906326.0,North Carolina Wildlife Federation,3.0,63.027122,Gaston County PAWS,gaston county paws,auto,0.0,Not included in top 3 results.
Carolina Federation,4.0,475335832.0,North Carolina Wildlife Federation,3.0,63.027122,,,auto,0.0,Not included in top 3 results.
Carolina Federation,4.0,465339262.0,North Carolina Wildlife Federation,3.0,63.027122,,,auto,0.0,Not included in top 3 results.
Carolina Federation,4.0,853846880.0,North Carolina Wildlife Federation,3.0,63.027122,,,auto,0.0,Not included in top 3 results.
Carolina Federation,4.0,581494098.0,North Carolina Coastal Federation Inc,3.0,62.069046,NORTH CAROLINA COASTAL FEDERATION INC,north carolina coastal federation,auto,0.0,Not included in top 3 results.
Carolina Federation,4.0,570473090.0,South Carolina Farm Bureau Federation,5.0,62.069046,SOUTH CAROLINA FARM BUREAU FEDERATION,south carolina farm bureau federation,auto,0.0,Not included in top 3 results.
Carolina Federation,4.0,560905018.0,North Carolina Poultry Federation Inc,6.0,62.069046,NORTH CAROLINA POULTRY,north carolina poultry,auto,0.0,Not included in top 3 results.
Carolina Federation,4.0,570856625.0,South Carolina Poultry Federation Inc,6.0,62.069046,SOUTH CAROLINA POULTRY FEDERATION,south carolina poultry federation,auto,0.0,Not included in top 3 results.
